"GO.ID","Term","Annotated","Significant","Expected","Rank in result2","result1","result2","result3","GenesInTermAndTest","GenesInTermAndTest_eggNogName"
"GO:0000214","tRNA-intron endonuclease complex",4,0,0.03,158,"1.00000","1.00000","1.00000","",""
"GO:0000220","vacuolar proton-transporting V-type ATPa...",10,0,0.08,159,"1.00000","1.00000","1.00000","",""
"GO:0000221","vacuolar proton-transporting V-type ATPa...",13,0,0.1,160,"1.00000","1.00000","1.00000","",""
"GO:0000228","nuclear chromosome",262,0,2.09,161,"1.00000","1.00000","1.00000","",""
"GO:0000242","pericentriolar material",23,0,0.18,162,"1.00000","1.00000","1.00000","",""
"GO:0000243","commitment complex",8,0,0.06,163,"1.00000","1.00000","1.00000","",""
"GO:0000276","mitochondrial proton-transporting ATP sy...",9,0,0.07,164,"1.00000","1.00000","1.00000","",""
"GO:0000307","cyclin-dependent protein kinase holoenzy...",17,0,0.14,165,"1.00000","1.00000","1.00000","",""
"GO:0000313","organellar ribosome",95,0,0.76,166,"1.00000","1.00000","1.00000","",""
"GO:0000314","organellar small ribosomal subunit",43,0,0.34,167,"1.00000","1.00000","1.00000","",""
"GO:0000315","organellar large ribosomal subunit",56,0,0.45,168,"1.00000","1.00000","1.00000","",""
"GO:0000346","transcription export complex",13,0,0.1,169,"1.00000","1.00000","1.00000","",""
"GO:0000347","THO complex",10,0,0.08,170,"1.00000","1.00000","1.00000","",""
"GO:0000407","phagophore assembly site",29,0,0.23,171,"1.00000","1.00000","1.00000","",""
"GO:0000408","EKC/KEOPS complex",3,0,0.02,172,"1.00000","1.00000","1.00000","",""
"GO:0000421","autophagosome membrane",9,0,0.07,173,"1.00000","1.00000","1.00000","",""
"GO:0000428","DNA-directed RNA polymerase complex",164,0,1.31,174,"1.00000","1.00000","1.00000","",""
"GO:0000439","transcription factor TFIIH core complex",10,0,0.08,175,"1.00000","1.00000","1.00000","",""
"GO:0000445","THO complex part of transcription export...",6,0,0.05,176,"1.00000","1.00000","1.00000","",""
"GO:0000502","proteasome complex",53,0,0.42,177,"1.00000","1.00000","1.00000","",""
"GO:0000506","glycosylphosphatidylinositol-N-acetylglu...",11,0,0.09,178,"1.00000","1.00000","1.00000","",""
"GO:0000775","chromosome, centromeric region",99,0,0.79,179,"1.00000","1.00000","1.00000","",""
"GO:0000776","kinetochore",61,0,0.49,180,"1.00000","1.00000","1.00000","",""
"GO:0000777","condensed chromosome kinetochore",22,0,0.18,181,"1.00000","1.00000","1.00000","",""
"GO:0000778","condensed nuclear chromosome kinetochore",5,0,0.04,182,"1.00000","1.00000","1.00000","",""
"GO:0000779","condensed chromosome, centromeric region",29,0,0.23,183,"1.00000","1.00000","1.00000","",""
"GO:0000780","condensed nuclear chromosome, centromeri...",15,0,0.12,184,"1.00000","1.00000","1.00000","",""
"GO:0000781","chromosome, telomeric region",26,0,0.21,185,"1.00000","1.00000","1.00000","",""
"GO:0000784","nuclear chromosome, telomeric region",12,0,0.1,186,"1.00000","1.00000","1.00000","",""
"GO:0000785","chromatin",308,0,2.45,187,"1.00000","1.00000","1.00000","",""
"GO:0000786","nucleosome",6,0,0.05,188,"1.00000","1.00000","1.00000","",""
"GO:0000788","nuclear nucleosome",3,0,0.02,189,"1.00000","1.00000","1.00000","",""
"GO:0000790","nuclear chromatin",150,0,1.2,190,"1.00000","1.00000","1.00000","",""
"GO:0000791","euchromatin",44,0,0.35,191,"1.00000","1.00000","1.00000","",""
"GO:0000792","heterochromatin",63,0,0.5,192,"1.00000","1.00000","1.00000","",""
"GO:0000793","condensed chromosome",89,0,0.71,193,"1.00000","1.00000","1.00000","",""
"GO:0000794","condensed nuclear chromosome",45,0,0.36,194,"1.00000","1.00000","1.00000","",""
"GO:0000795","synaptonemal complex",4,0,0.03,195,"1.00000","1.00000","1.00000","",""
"GO:0000796","condensin complex",11,0,0.09,196,"1.00000","1.00000","1.00000","",""
"GO:0000798","nuclear cohesin complex",3,0,0.02,197,"1.00000","1.00000","1.00000","",""
"GO:0000799","nuclear condensin complex",7,0,0.06,198,"1.00000","1.00000","1.00000","",""
"GO:0000805","X chromosome",12,0,0.1,199,"1.00000","1.00000","1.00000","",""
"GO:0000808","origin recognition complex",8,0,0.06,200,"1.00000","1.00000","1.00000","",""
"GO:0000811","GINS complex",6,0,0.05,201,"1.00000","1.00000","1.00000","",""
"GO:0000813","ESCRT I complex",10,0,0.08,202,"1.00000","1.00000","1.00000","",""
"GO:0000814","ESCRT II complex",3,0,0.02,203,"1.00000","1.00000","1.00000","",""
"GO:0000815","ESCRT III complex",8,0,0.06,204,"1.00000","1.00000","1.00000","",""
"GO:0000922","spindle pole",54,0,0.43,205,"1.00000","1.00000","1.00000","",""
"GO:0000923","equatorial microtubule organizing center",6,0,0.05,206,"1.00000","1.00000","1.00000","",""
"GO:0000930","gamma-tubulin complex",7,0,0.06,207,"1.00000","1.00000","1.00000","",""
"GO:0000931","gamma-tubulin large complex",4,0,0.03,208,"1.00000","1.00000","1.00000","",""
"GO:0000932","P-body",43,0,0.34,209,"1.00000","1.00000","1.00000","",""
"GO:0000938","GARP complex",8,0,0.06,210,"1.00000","1.00000","1.00000","",""
"GO:0000940","condensed chromosome outer kinetochore",21,0,0.17,211,"1.00000","1.00000","1.00000","",""
"GO:0000974","Prp19 complex",19,0,0.15,212,"1.00000","1.00000","1.00000","",""
"GO:0001405","PAM complex, Tim23 associated import mot...",4,0,0.03,213,"1.00000","1.00000","1.00000","",""
"GO:0001650","fibrillar center",8,0,0.06,214,"1.00000","1.00000","1.00000","",""
"GO:0001673","male germ cell nucleus",6,0,0.05,215,"1.00000","1.00000","1.00000","",""
"GO:0001674","female germ cell nucleus",15,0,0.12,216,"1.00000","1.00000","1.00000","",""
"GO:0001726","ruffle",7,0,0.06,217,"1.00000","1.00000","1.00000","",""
"GO:0001940","male pronucleus",4,0,0.03,218,"1.00000","1.00000","1.00000","",""
"GO:0005635","nuclear envelope",130,0,1.04,219,"1.00000","1.00000","1.00000","",""
"GO:0005637","nuclear inner membrane",6,0,0.05,220,"1.00000","1.00000","1.00000","",""
"GO:0005640","nuclear outer membrane",4,0,0.03,221,"1.00000","1.00000","1.00000","",""
"GO:0005643","nuclear pore",57,0,0.45,222,"1.00000","1.00000","1.00000","",""
"GO:0005652","nuclear lamina",16,0,0.13,223,"1.00000","1.00000","1.00000","",""
"GO:0005654","nucleoplasm",570,0,4.54,224,"1.00000","1.00000","1.00000","",""
"GO:0005655","nucleolar ribonuclease P complex",9,0,0.07,225,"1.00000","1.00000","1.00000","",""
"GO:0005656","nuclear pre-replicative complex",4,0,0.03,226,"1.00000","1.00000","1.00000","",""
"GO:0005657","replication fork",45,0,0.36,227,"1.00000","1.00000","1.00000","",""
"GO:0005658","alpha DNA polymerase:primase complex",8,0,0.06,228,"1.00000","1.00000","1.00000","",""
"GO:0005663","DNA replication factor C complex",7,0,0.06,229,"1.00000","1.00000","1.00000","",""
"GO:0005664","nuclear origin of replication recognitio...",8,0,0.06,230,"1.00000","1.00000","1.00000","",""
"GO:0005665","RNA polymerase II, core complex",19,0,0.15,231,"1.00000","1.00000","1.00000","",""
"GO:0005666","RNA polymerase III complex",25,0,0.2,232,"1.00000","1.00000","1.00000","",""
"GO:0005667","transcription regulator complex",209,0,1.67,233,"1.00000","1.00000","1.00000","",""
"GO:0005669","transcription factor TFIID complex",28,0,0.22,234,"1.00000","1.00000","1.00000","",""
"GO:0005671","Ada2/Gcn5/Ada3 transcription activator c...",19,0,0.15,235,"1.00000","1.00000","1.00000","",""
"GO:0005672","transcription factor TFIIA complex",3,0,0.02,236,"1.00000","1.00000","1.00000","",""
"GO:0005674","transcription factor TFIIF complex",4,0,0.03,237,"1.00000","1.00000","1.00000","",""
"GO:0005675","transcription factor TFIIH holo complex",16,0,0.13,238,"1.00000","1.00000","1.00000","",""
"GO:0005677","chromatin silencing complex",6,0,0.05,239,"1.00000","1.00000","1.00000","",""
"GO:0005680","anaphase-promoting complex",19,0,0.15,240,"1.00000","1.00000","1.00000","",""
"GO:0005681","spliceosomal complex",101,0,0.81,241,"1.00000","1.00000","1.00000","",""
"GO:0005682","U5 snRNP",20,0,0.16,242,"1.00000","1.00000","1.00000","",""
"GO:0005683","U7 snRNP",3,0,0.02,243,"1.00000","1.00000","1.00000","",""
"GO:0005684","U2-type spliceosomal complex",38,0,0.3,244,"1.00000","1.00000","1.00000","",""
"GO:0005685","U1 snRNP",19,0,0.15,245,"1.00000","1.00000","1.00000","",""
"GO:0005686","U2 snRNP",25,0,0.2,246,"1.00000","1.00000","1.00000","",""
"GO:0005687","U4 snRNP",6,0,0.05,247,"1.00000","1.00000","1.00000","",""
"GO:0005688","U6 snRNP",9,0,0.07,248,"1.00000","1.00000","1.00000","",""
"GO:0005689","U12-type spliceosomal complex",17,0,0.14,249,"1.00000","1.00000","1.00000","",""
"GO:0005693","U12 snRNP",3,0,0.02,250,"1.00000","1.00000","1.00000","",""
"GO:0005697","telomerase holoenzyme complex",7,0,0.06,251,"1.00000","1.00000","1.00000","",""
"GO:0005701","polytene chromosome chromocenter",17,0,0.14,252,"1.00000","1.00000","1.00000","",""
"GO:0005703","polytene chromosome puff",59,0,0.47,253,"1.00000","1.00000","1.00000","",""
"GO:0005704","polytene chromosome band",13,0,0.1,254,"1.00000","1.00000","1.00000","",""
"GO:0005705","polytene chromosome interband",47,0,0.37,255,"1.00000","1.00000","1.00000","",""
"GO:0005719","nuclear euchromatin",21,0,0.17,256,"1.00000","1.00000","1.00000","",""
"GO:0005720","nuclear heterochromatin",9,0,0.07,257,"1.00000","1.00000","1.00000","",""
"GO:0005721","pericentric heterochromatin",16,0,0.13,258,"1.00000","1.00000","1.00000","",""
"GO:0005722","beta-heterochromatin",3,0,0.02,259,"1.00000","1.00000","1.00000","",""
"GO:0005725","intercalary heterochromatin",4,0,0.03,260,"1.00000","1.00000","1.00000","",""
"GO:0005732","small nucleolar ribonucleoprotein comple...",30,0,0.24,261,"1.00000","1.00000","1.00000","",""
"GO:0005736","RNA polymerase I complex",17,0,0.14,262,"1.00000","1.00000","1.00000","",""
"GO:0005741","mitochondrial outer membrane",37,0,0.29,263,"1.00000","1.00000","1.00000","",""
"GO:0005742","mitochondrial outer membrane translocase...",5,0,0.04,264,"1.00000","1.00000","1.00000","",""
"GO:0005744","TIM23 mitochondrial import inner membran...",18,0,0.14,265,"1.00000","1.00000","1.00000","",""
"GO:0005746","mitochondrial respirasome",102,0,0.81,266,"1.00000","1.00000","1.00000","",""
"GO:0005747","mitochondrial respiratory chain complex ...",48,0,0.38,267,"1.00000","1.00000","1.00000","",""
"GO:0005749","mitochondrial respiratory chain complex ...",4,0,0.03,268,"1.00000","1.00000","1.00000","",""
"GO:0005750","mitochondrial respiratory chain complex ...",18,0,0.14,269,"1.00000","1.00000","1.00000","",""
"GO:0005751","mitochondrial respiratory chain complex ...",32,0,0.26,270,"1.00000","1.00000","1.00000","",""
"GO:0005756","mitochondrial proton-transporting ATP sy...",4,0,0.03,271,"1.00000","1.00000","1.00000","",""
"GO:0005758","mitochondrial intermembrane space",26,0,0.21,272,"1.00000","1.00000","1.00000","",""
"GO:0005759","mitochondrial matrix",214,0,1.71,273,"1.00000","1.00000","1.00000","",""
"GO:0005761","mitochondrial ribosome",95,0,0.76,274,"1.00000","1.00000","1.00000","",""
"GO:0005762","mitochondrial large ribosomal subunit",56,0,0.45,275,"1.00000","1.00000","1.00000","",""
"GO:0005763","mitochondrial small ribosomal subunit",43,0,0.34,276,"1.00000","1.00000","1.00000","",""
"GO:0005765","lysosomal membrane",27,0,0.22,277,"1.00000","1.00000","1.00000","",""
"GO:0005767","secondary lysosome",11,0,0.09,278,"1.00000","1.00000","1.00000","",""
"GO:0005769","early endosome",69,0,0.55,279,"1.00000","1.00000","1.00000","",""
"GO:0005770","late endosome",104,0,0.83,280,"1.00000","1.00000","1.00000","",""
"GO:0005771","multivesicular body",14,0,0.11,281,"1.00000","1.00000","1.00000","",""
"GO:0005776","autophagosome",47,0,0.37,282,"1.00000","1.00000","1.00000","",""
"GO:0005778","peroxisomal membrane",25,0,0.2,283,"1.00000","1.00000","1.00000","",""
"GO:0005779","integral component of peroxisomal membra...",5,0,0.04,284,"1.00000","1.00000","1.00000","",""
"GO:0005786","signal recognition particle, endoplasmic...",7,0,0.06,285,"1.00000","1.00000","1.00000","",""
"GO:0005787","signal peptidase complex",5,0,0.04,286,"1.00000","1.00000","1.00000","",""
"GO:0005788","endoplasmic reticulum lumen",8,0,0.06,287,"1.00000","1.00000","1.00000","",""
"GO:0005789","endoplasmic reticulum membrane",179,0,1.43,288,"1.00000","1.00000","1.00000","",""
"GO:0005790","smooth endoplasmic reticulum",6,0,0.05,289,"1.00000","1.00000","1.00000","",""
"GO:0005791","rough endoplasmic reticulum",16,0,0.13,290,"1.00000","1.00000","1.00000","",""
"GO:0005793","endoplasmic reticulum-Golgi intermediate...",6,0,0.05,291,"1.00000","1.00000","1.00000","",""
"GO:0005795","Golgi stack",77,0,0.61,292,"1.00000","1.00000","1.00000","",""
"GO:0005797","Golgi medial cisterna",18,0,0.14,293,"1.00000","1.00000","1.00000","",""
"GO:0005798","Golgi-associated vesicle",58,0,0.46,294,"1.00000","1.00000","1.00000","",""
"GO:0005801","cis-Golgi network",7,0,0.06,295,"1.00000","1.00000","1.00000","",""
"GO:0005811","lipid droplet",12,0,0.1,296,"1.00000","1.00000","1.00000","",""
"GO:0005813","centrosome",132,0,1.05,297,"1.00000","1.00000","1.00000","",""
"GO:0005814","centriole",37,0,0.29,298,"1.00000","1.00000","1.00000","",""
"GO:0005815","microtubule organizing center",162,0,1.29,299,"1.00000","1.00000","1.00000","",""
"GO:0005818","aster",15,0,0.12,300,"1.00000","1.00000","1.00000","",""
"GO:0005819","spindle",137,0,1.09,301,"1.00000","1.00000","1.00000","",""
"GO:0005826","actomyosin contractile ring",4,0,0.03,302,"1.00000","1.00000","1.00000","",""
"GO:0005827","polar microtubule",4,0,0.03,303,"1.00000","1.00000","1.00000","",""
"GO:0005828","kinetochore microtubule",22,0,0.18,304,"1.00000","1.00000","1.00000","",""
"GO:0005832","chaperonin-containing T-complex",11,0,0.09,305,"1.00000","1.00000","1.00000","",""
"GO:0005834","heterotrimeric G-protein complex",11,0,0.09,306,"1.00000","1.00000","1.00000","",""
"GO:0005838","proteasome regulatory particle",28,0,0.22,307,"1.00000","1.00000","1.00000","",""
"GO:0005839","proteasome core complex",16,0,0.13,308,"1.00000","1.00000","1.00000","",""
"GO:0005840","ribosome",230,0,1.83,309,"1.00000","1.00000","1.00000","",""
"GO:0005844","polysome",19,0,0.15,310,"1.00000","1.00000","1.00000","",""
"GO:0005845","mRNA cap binding complex",4,0,0.03,311,"1.00000","1.00000","1.00000","",""
"GO:0005847","mRNA cleavage and polyadenylation specif...",20,0,0.16,312,"1.00000","1.00000","1.00000","",""
"GO:0005848","mRNA cleavage stimulating factor complex",5,0,0.04,313,"1.00000","1.00000","1.00000","",""
"GO:0005849","mRNA cleavage factor complex",25,0,0.2,314,"1.00000","1.00000","1.00000","",""
"GO:0005850","eukaryotic translation initiation factor...",3,0,0.02,315,"1.00000","1.00000","1.00000","",""
"GO:0005851","eukaryotic translation initiation factor...",7,0,0.06,316,"1.00000","1.00000","1.00000","",""
"GO:0005852","eukaryotic translation initiation factor...",28,0,0.22,317,"1.00000","1.00000","1.00000","",""
"GO:0005853","eukaryotic translation elongation factor...",11,0,0.09,318,"1.00000","1.00000","1.00000","",""
"GO:0005856","cytoskeleton",574,0,4.58,319,"1.00000","1.00000","1.00000","",""
"GO:0005858","axonemal dynein complex",48,0,0.38,320,"1.00000","1.00000","1.00000","",""
"GO:0005859","muscle myosin complex",17,0,0.14,321,"1.00000","1.00000","1.00000","",""
"GO:0005862","muscle thin filament tropomyosin",3,0,0.02,322,"1.00000","1.00000","1.00000","",""
"GO:0005863","striated muscle myosin thick filament",7,0,0.06,323,"1.00000","1.00000","1.00000","",""
"GO:0005865","striated muscle thin filament",9,0,0.07,324,"1.00000","1.00000","1.00000","",""
"GO:0005868","cytoplasmic dynein complex",11,0,0.09,325,"1.00000","1.00000","1.00000","",""
"GO:0005869","dynactin complex",14,0,0.11,326,"1.00000","1.00000","1.00000","",""
"GO:0005871","kinesin complex",56,0,0.45,327,"1.00000","1.00000","1.00000","",""
"GO:0005874","microtubule",83,0,0.66,328,"1.00000","1.00000","1.00000","",""
"GO:0005875","microtubule associated complex",190,0,1.51,329,"1.00000","1.00000","1.00000","",""
"GO:0005876","spindle microtubule",53,0,0.42,330,"1.00000","1.00000","1.00000","",""
"GO:0005879","axonemal microtubule",3,0,0.02,331,"1.00000","1.00000","1.00000","",""
"GO:0005881","cytoplasmic microtubule",5,0,0.04,332,"1.00000","1.00000","1.00000","",""
"GO:0005884","actin filament",19,0,0.15,333,"1.00000","1.00000","1.00000","",""
"GO:0005885","Arp2/3 protein complex",14,0,0.11,334,"1.00000","1.00000","1.00000","",""
"GO:0005890","sodium:potassium-exchanging ATPase compl...",6,0,0.05,335,"1.00000","1.00000","1.00000","",""
"GO:0005891","voltage-gated calcium channel complex",6,0,0.05,336,"1.00000","1.00000","1.00000","",""
"GO:0005892","acetylcholine-gated channel complex",12,0,0.1,337,"1.00000","1.00000","1.00000","",""
"GO:0005902","microvillus",23,0,0.18,338,"1.00000","1.00000","1.00000","",""
"GO:0005905","clathrin-coated pit",15,0,0.12,339,"1.00000","1.00000","1.00000","",""
"GO:0005912","adherens junction",143,0,1.14,340,"1.00000","1.00000","1.00000","",""
"GO:0005914","spot adherens junction",5,0,0.04,341,"1.00000","1.00000","1.00000","",""
"GO:0005915","zonula adherens",14,0,0.11,342,"1.00000","1.00000","1.00000","",""
"GO:0005917","nephrocyte diaphragm",7,0,0.06,343,"1.00000","1.00000","1.00000","",""
"GO:0005919","pleated septate junction",8,0,0.06,344,"1.00000","1.00000","1.00000","",""
"GO:0005921","gap junction",9,0,0.07,345,"1.00000","1.00000","1.00000","",""
"GO:0005923","bicellular tight junction",5,0,0.04,346,"1.00000","1.00000","1.00000","",""
"GO:0005925","focal adhesion",46,0,0.37,347,"1.00000","1.00000","1.00000","",""
"GO:0005927","muscle tendon junction",23,0,0.18,348,"1.00000","1.00000","1.00000","",""
"GO:0005929","cilium",178,0,1.42,349,"1.00000","1.00000","1.00000","",""
"GO:0005930","axoneme",79,0,0.63,350,"1.00000","1.00000","1.00000","",""
"GO:0005938","cell cortex",243,0,1.94,351,"1.00000","1.00000","1.00000","",""
"GO:0005940","septin ring",8,0,0.06,352,"1.00000","1.00000","1.00000","",""
"GO:0005942","phosphatidylinositol 3-kinase complex",12,0,0.1,353,"1.00000","1.00000","1.00000","",""
"GO:0005943","phosphatidylinositol 3-kinase complex, c...",3,0,0.02,354,"1.00000","1.00000","1.00000","",""
"GO:0005947","mitochondrial alpha-ketoglutarate dehydr...",6,0,0.05,355,"1.00000","1.00000","1.00000","",""
"GO:0005955","calcineurin complex",8,0,0.06,356,"1.00000","1.00000","1.00000","",""
"GO:0005956","protein kinase CK2 complex",3,0,0.02,357,"1.00000","1.00000","1.00000","",""
"GO:0005960","glycine cleavage complex",3,0,0.02,358,"1.00000","1.00000","1.00000","",""
"GO:0005964","phosphorylase kinase complex",8,0,0.06,359,"1.00000","1.00000","1.00000","",""
"GO:0005965","protein farnesyltransferase complex",3,0,0.02,360,"1.00000","1.00000","1.00000","",""
"GO:0005968","Rab-protein geranylgeranyltransferase co...",7,0,0.06,361,"1.00000","1.00000","1.00000","",""
"GO:0005971","ribonucleoside-diphosphate reductase com...",3,0,0.02,362,"1.00000","1.00000","1.00000","",""
"GO:0008021","synaptic vesicle",83,0,0.66,363,"1.00000","1.00000","1.00000","",""
"GO:0008023","transcription elongation factor complex",53,0,0.42,364,"1.00000","1.00000","1.00000","",""
"GO:0008024","cyclin/CDK positive transcription elonga...",5,0,0.04,365,"1.00000","1.00000","1.00000","",""
"GO:0008074","guanylate cyclase complex, soluble",37,0,0.29,366,"1.00000","1.00000","1.00000","",""
"GO:0008076","voltage-gated potassium channel complex",17,0,0.14,367,"1.00000","1.00000","1.00000","",""
"GO:0008091","spectrin",7,0,0.06,368,"1.00000","1.00000","1.00000","",""
"GO:0008180","COP9 signalosome",15,0,0.12,369,"1.00000","1.00000","1.00000","",""
"GO:0008230","ecdysone receptor holocomplex",9,0,0.07,370,"1.00000","1.00000","1.00000","",""
"GO:0008231","repressor ecdysone receptor complex",7,0,0.06,371,"1.00000","1.00000","1.00000","",""
"GO:0008232","activator ecdysone receptor complex",7,0,0.06,372,"1.00000","1.00000","1.00000","",""
"GO:0008250","oligosaccharyltransferase complex",11,0,0.09,373,"1.00000","1.00000","1.00000","",""
"GO:0008274","gamma-tubulin ring complex",4,0,0.03,374,"1.00000","1.00000","1.00000","",""
"GO:0008275","gamma-tubulin small complex",4,0,0.03,375,"1.00000","1.00000","1.00000","",""
"GO:0008278","cohesin complex",9,0,0.07,376,"1.00000","1.00000","1.00000","",""
"GO:0008287","protein serine/threonine phosphatase com...",28,0,0.22,377,"1.00000","1.00000","1.00000","",""
"GO:0008290","F-actin capping protein complex",3,0,0.02,378,"1.00000","1.00000","1.00000","",""
"GO:0008303","caspase complex",4,0,0.03,379,"1.00000","1.00000","1.00000","",""
"GO:0008305","integrin complex",8,0,0.06,380,"1.00000","1.00000","1.00000","",""
"GO:0008328","ionotropic glutamate receptor complex",8,0,0.06,381,"1.00000","1.00000","1.00000","",""
"GO:0008540","proteasome regulatory particle, base sub...",14,0,0.11,382,"1.00000","1.00000","1.00000","",""
"GO:0008541","proteasome regulatory particle, lid subc...",13,0,0.1,383,"1.00000","1.00000","1.00000","",""
"GO:0008622","epsilon DNA polymerase complex",3,0,0.02,384,"1.00000","1.00000","1.00000","",""
"GO:0008623","CHRAC",8,0,0.06,385,"1.00000","1.00000","1.00000","",""
"GO:0009295","nucleoid",4,0,0.03,386,"1.00000","1.00000","1.00000","",""
"GO:0009328","phenylalanine-tRNA ligase complex",5,0,0.04,387,"1.00000","1.00000","1.00000","",""
"GO:0009353","mitochondrial oxoglutarate dehydrogenase...",5,0,0.04,388,"1.00000","1.00000","1.00000","",""
"GO:0009361","succinate-CoA ligase complex (ADP-formin...",4,0,0.03,389,"1.00000","1.00000","1.00000","",""
"GO:0009897","external side of plasma membrane",21,0,0.17,390,"1.00000","1.00000","1.00000","",""
"GO:0009898","cytoplasmic side of plasma membrane",60,0,0.48,391,"1.00000","1.00000","1.00000","",""
"GO:0009925","basal plasma membrane",19,0,0.15,392,"1.00000","1.00000","1.00000","",""
"GO:0010008","endosome membrane",64,0,0.51,393,"1.00000","1.00000","1.00000","",""
"GO:0010369","chromocenter",33,0,0.26,394,"1.00000","1.00000","1.00000","",""
"GO:0010494","cytoplasmic stress granule",6,0,0.05,395,"1.00000","1.00000","1.00000","",""
"GO:0012507","ER to Golgi transport vesicle membrane",16,0,0.13,396,"1.00000","1.00000","1.00000","",""
"GO:0012510","trans-Golgi network transport vesicle me...",6,0,0.05,397,"1.00000","1.00000","1.00000","",""
"GO:0014069","postsynaptic density",12,0,0.1,398,"1.00000","1.00000","1.00000","",""
"GO:0015030","Cajal body",28,0,0.22,399,"1.00000","1.00000","1.00000","",""
"GO:0015629","actin cytoskeleton",133,0,1.06,400,"1.00000","1.00000","1.00000","",""
"GO:0015630","microtubule cytoskeleton",396,0,3.16,401,"1.00000","1.00000","1.00000","",""
"GO:0015934","large ribosomal subunit",137,0,1.09,402,"1.00000","1.00000","1.00000","",""
"GO:0015935","small ribosomal subunit",93,0,0.74,403,"1.00000","1.00000","1.00000","",""
"GO:0016006","Nebenkern",14,0,0.11,404,"1.00000","1.00000","1.00000","",""
"GO:0016010","dystrophin-associated glycoprotein compl...",16,0,0.13,405,"1.00000","1.00000","1.00000","",""
"GO:0016011","dystroglycan complex",10,0,0.08,406,"1.00000","1.00000","1.00000","",""
"GO:0016012","sarcoglycan complex",8,0,0.06,407,"1.00000","1.00000","1.00000","",""
"GO:0016013","syntrophin complex",5,0,0.04,408,"1.00000","1.00000","1.00000","",""
"GO:0016027","inaD signaling complex",14,0,0.11,409,"1.00000","1.00000","1.00000","",""
"GO:0016028","rhabdomere",57,0,0.45,410,"1.00000","1.00000","1.00000","",""
"GO:0016029","subrhabdomeral cisterna",4,0,0.03,411,"1.00000","1.00000","1.00000","",""
"GO:0016234","inclusion body",3,0,0.02,412,"1.00000","1.00000","1.00000","",""
"GO:0016272","prefoldin complex",3,0,0.02,413,"1.00000","1.00000","1.00000","",""
"GO:0016281","eukaryotic translation initiation factor...",6,0,0.05,414,"1.00000","1.00000","1.00000","",""
"GO:0016282","eukaryotic 43S preinitiation complex",8,0,0.06,415,"1.00000","1.00000","1.00000","",""
"GO:0016323","basolateral plasma membrane",76,0,0.61,416,"1.00000","1.00000","1.00000","",""
"GO:0016328","lateral plasma membrane",25,0,0.2,417,"1.00000","1.00000","1.00000","",""
"GO:0016342","catenin complex",5,0,0.04,418,"1.00000","1.00000","1.00000","",""
"GO:0016363","nuclear matrix",12,0,0.1,419,"1.00000","1.00000","1.00000","",""
"GO:0016442","RISC complex",10,0,0.08,420,"1.00000","1.00000","1.00000","",""
"GO:0016456","X chromosome located dosage compensation...",12,0,0.1,421,"1.00000","1.00000","1.00000","",""
"GO:0016459","myosin complex",47,0,0.37,422,"1.00000","1.00000","1.00000","",""
"GO:0016460","myosin II complex",23,0,0.18,423,"1.00000","1.00000","1.00000","",""
"GO:0016461","unconventional myosin complex",14,0,0.11,424,"1.00000","1.00000","1.00000","",""
"GO:0016507","mitochondrial fatty acid beta-oxidation ...",3,0,0.02,425,"1.00000","1.00000","1.00000","",""
"GO:0016528","sarcoplasm",9,0,0.07,426,"1.00000","1.00000","1.00000","",""
"GO:0016529","sarcoplasmic reticulum",4,0,0.03,427,"1.00000","1.00000","1.00000","",""
"GO:0016533","protein kinase 5 complex",3,0,0.02,428,"1.00000","1.00000","1.00000","",""
"GO:0016580","Sin3 complex",8,0,0.06,429,"1.00000","1.00000","1.00000","",""
"GO:0016581","NuRD complex",11,0,0.09,430,"1.00000","1.00000","1.00000","",""
"GO:0016586","RSC-type complex",15,0,0.12,431,"1.00000","1.00000","1.00000","",""
"GO:0016589","NURF complex",6,0,0.05,432,"1.00000","1.00000","1.00000","",""
"GO:0016590","ACF complex",3,0,0.02,433,"1.00000","1.00000","1.00000","",""
"GO:0016591","RNA polymerase II, holoenzyme",125,0,1,434,"1.00000","1.00000","1.00000","",""
"GO:0016592","mediator complex",43,0,0.34,435,"1.00000","1.00000","1.00000","",""
"GO:0016593","Cdc73/Paf1 complex",10,0,0.08,436,"1.00000","1.00000","1.00000","",""
"GO:0016600","flotillin complex",4,0,0.03,437,"1.00000","1.00000","1.00000","",""
"GO:0016604","nuclear body",82,0,0.65,438,"1.00000","1.00000","1.00000","",""
"GO:0016607","nuclear speck",31,0,0.25,439,"1.00000","1.00000","1.00000","",""
"GO:0017053","transcription repressor complex",40,0,0.32,440,"1.00000","1.00000","1.00000","",""
"GO:0017101","aminoacyl-tRNA synthetase multienzyme co...",16,0,0.13,441,"1.00000","1.00000","1.00000","",""
"GO:0017119","Golgi transport complex",16,0,0.13,442,"1.00000","1.00000","1.00000","",""
"GO:0017133","mitochondrial electron transfer flavopro...",4,0,0.03,443,"1.00000","1.00000","1.00000","",""
"GO:0019005","SCF ubiquitin ligase complex",72,0,0.57,444,"1.00000","1.00000","1.00000","",""
"GO:0019008","molybdopterin synthase complex",5,0,0.04,445,"1.00000","1.00000","1.00000","",""
"GO:0019183","histamine-gated chloride channel complex",3,0,0.02,446,"1.00000","1.00000","1.00000","",""
"GO:0019185","snRNA-activating protein complex",5,0,0.04,447,"1.00000","1.00000","1.00000","",""
